#,WARD NAME,WARD CODE,LGA NAME,LGA CODE,State Constituency,,Federal Constituency,,Senatorial District,,STATE
35,AROCHUKWU III,11,AROCHUKWU,03,AROCHUKWU,SC/04/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
36,AMINKALU/AKOLIUFU,01,BENDE,04,BENDE NORTH,SC/05/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
37,BENDE,02,BENDE,04,BENDE NORTH,SC/05/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
38,UGWUEKE/EZEUKWU,03,BENDE,04,BENDE NORTH,SC/05/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
39,IGBERE ‘A’,04,BENDE,04,BENDE NORTH,SC/05/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
40,IGBERE ‘B’,05,BENDE,04,BENDE NORTH,SC/05/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
41,ITEM ‘A’,06,BENDE,04,BENDE NORTH,SC/05/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
42,ITEM ‘B’,07,BENDE,04,BENDE SOUTH,SC/06/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
43,ITEM ‘C’,08,BENDE,04,BENDE SOUTH,SC/06/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
44,ITUMBAUZO,09,BENDE,04,BENDE SOUTH,SC/06/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
45,OZUITEM,10,BENDE,04,BENDE SOUTH,SC/06/AB,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
46,UMUHU/EZECHI,11,BENDE,04,,,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
47,UMU-IMENYI,12,BENDE,04,,,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
48,UZUAKOLI,13,BENDE,04,,,Bende,FC/003/AB,ABIA NORTH,SD/001/AB,ABIA
49,OLOKO I,01,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
50,OLOKO II,02,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
51,IBERE I,03,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
52,IBERE II,04,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
53,OBORO I,05,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
54,OBORO II,06,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
55,OBORO III,07,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
56,OBORO IV,08,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
57,ARIAM,09,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
58,USAKA,10,IKWUANO,05,IKWUANO,SC/07/AB,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
59,AMASAA NSULU,01,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
60,UMUNNA NSULU,02,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
61,ISIALA NSULU,03,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
62,NGWA UKWU II,04,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
63,NGWA UKWU I,05,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
64,IJIE,06,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
65,AMASAA NTIGHA,07,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
66,AMAPU NTIGHA,08,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
67,UMUOHA,09,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
68,MBAWSI/UMUOMA INTA,10,ISIALA NGWA NORTH,06,ISIALA NGWA NORTH,SC/08/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
69,AMAISE/AMAISE AIYABA,01,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
